video_id,comment_thread_id,comment_id,comment_text,author,published_date,like_count,reply_count,parent_id,timestamp,mentions,title
pvxwONwpRxc,UgwIEs-UCWk9Az3Ai9F4AaABAg,UgwIEs-UCWk9Az3Ai9F4AaABAg,Getting caught alive in Russia after doing that will be the worst mistake,davidvalentine8582,2024-03-25T03:30:44Z,16506,410,root,2024-03-25 03:30:44+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_LAN3Ovz,"the west seems worried about this as well, look like they didn't escape or died so... the truth will come out. the us noting that ukriane had nothing to do with this within an hour after the event was very strange .",kskid4life,2024-03-25T03:57:49Z,850,27,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 03:57:49+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_XASLDlx,Worst mistake ever don't mess with Russia,ahassan776,2024-03-25T03:59:27Z,791,14,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 03:59:27+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_YAcUIGH,I think standing in front of God will be worse.,iwishpeoplecaredagain,2024-03-25T03:59:35Z,674,16,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 03:59:35+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1Oa4tBc68R,Wouldn't surprise me if the regime was involved.,user-oh7tn1bu3r,2024-03-25T04:04:20Z,198,2,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 04:04:20+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OaF8V2eMZ,It's sort of like north korea or China lol,TheUnknown-mg8fv,2024-03-25T04:05:44Z,83,9,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 04:05:44+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1OaTtPd5gN,"Ya, I don’t understand how you would let Ruzzia take you alive after doing that.",d.b.1176,2024-03-25T04:07:45Z,244,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 04:07:45+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1Ob28FT02g,Fuck Russia​@@ahassan776,JesseVirreal-cs2ii,2024-03-25T04:12:42Z,0,1,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1O_XASLDlx,2024-03-25 04:12:42+00:00,ahassan776,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1Ob5pCFeO-,They were caught near Ukrainian border,feridasafarova242,2024-03-25T04:13:12Z,248,5,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 04:13:12+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
pvxwONwpRxc,,UgwIEs-UCWk9Az3Ai9F4AaABAg.A1OXEmR-BieA1ObMF9UJtI,100%,jasonthomas4973,2024-03-25T04:15:26Z,29,1,UgwIEs-UCWk9Az3Ai9F4AaABAg,2024-03-25 04:15:26+00:00,,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News
